"","X1","age","sex","education","pes19_votechoice2019","vote_liberal","vote_conservative","vote_bloc","vote_ndp","vote_green","vote_ppc","vote_other","vote_spoil","age_cat"
"1178",1223,62,"Female","Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"1179",1224,37,"Male","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[30,50)"
"1180",1225,59,"Male","Graduate Degree","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"1181",1226,57,"Male","Graduate Degree","Another party (specify)",0,0,0,0,0,0,1,0,"[50,65)"
"1182",1227,73,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"1183",1228,55,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1184",1229,44,"Male","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1185",1230,56,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1186",1231,60,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"1187",1232,71,"Female","Bachelors","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"1188",1233,85,"Male","Bachelors","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"1189",1234,56,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1190",1235,67,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1191",1236,27,"Female","Below High School","Conservative Party",0,1,0,0,0,0,0,0,"[18,30)"
